SIREN,NIC,ENSEIGNE
490577699,21,
490580933,29,
490628955,26,
490628955,26,
490711330,12,
490711769,29,
490711769,29,
490711769,37,
490757887,24,
490763232,25,
490788064,15,
490788064,15,
490792785,43,
490862877,19,
490877479,17,
490889813,13,
490889813,13,
490945409,12,
490965555,25,
490965555,33,
490986676,24,
491019139,30,
491043832,14,
491043832,14,
491049219,34,
491049219,42,
491077749,27,
491077749,35,
491080628,28,
491089652,37,
491140513,38,H BURGER
491156733,25,
491156733,33,
491215190,19,
491215190,27,
491229985,24,
491229985,32,
491436861,18,
491436861,18,
491463758,12,
491467460,29,
491467460,29,
491540050,29,
491540050,29,
491540050,37,L ABCDAIRE
491559001,12,
491559001,20,
491588018,11,
491588018,29,
491607818,11,
491607818,29,
491670550,20,
491700977,11,
491700977,11,
491702023,38,
491731576,63,
491731576,71,
491731576,71,
491731576,89,
491731576,89,
491736120,32,
491736120,32,
491779294,17,
491850244,14,
491850244,22,
491923694,21,
491923694,21,
491954921,12,
491967576,27,
491975041,162,
491981049,19,
491981049,19,
491981049,27,
492020029,12,
492020425,53,
492040449,34,L'AUBERGE DE CHOUZE
492064498,16,
492064498,24,
492110259,16,
492116140,12,
492116140,20,
492128376,18,
492128376,26,
492139662,26,DECO'CARRELAGE PATRICE
492154752,25,
492154752,25,
492159587,38,
492165725,44,
492165725,69,
492185574,42,
492193669,24,
492193669,24,
492202320,98,
492284062,14,
492290432,11,
492290853,18,
492290853,18,
492290853,26,
492290853,26,
492343926,19,
492343926,27,
492355284,18,
492366018,33,
492366190,14,
492482666,12,
492482666,12,
492496708,32,
492496708,40,
492506746,22,
492506746,22,
492536891,12,
492552013,12,
492552013,20,
492565486,23,
492599766,28,
492599766,28,
492609789,28,
492660683,29,
492660683,29,
492668017,14,ELUSION MUSIC
492689872,41,
492689872,41,
492700109,19,
492726831,18,
492726831,26,
492729264,19,
492729264,27,
492746201,44,
492749379,11,
492785019,26,
492790019,11,
492790019,11,
492807888,51,
492807888,69,
492828918,10,
492828918,28,
492859525,15,W.B.T. SECURITE
492859525,23,
492883657,40,
492966718,24,
492966718,32,
492972070,14,
492972070,14,
492974670,35,
492974670,43,
493029367,15,
493029367,23,
493095673,15,
493097919,69,
493097919,69,
493255913,11,
493292270,11,
493300065,23,
493300065,23,
493325997,28,
493350003,15,
493365712,22,
493365712,22,
493365712,30,
493365712,48,
493410971,11,
493410971,11,
493431548,12,
493431548,20,
493466445,27,PHARMAREVA RHONE-ALPES
493466445,27,PHARMAREVA RHONE-ALPES
493466445,43,
493466445,43,
493466445,50,
493466445,50,
493466445,68,
493466445,68,
493466445,76,ASSISTANCE PHARMACEUTIQUE RHONE ALP
493514707,55,
493514707,63,
493631485,31,
493691760,26,
493691760,26,
493708218,18,FORMASECU
493708218,34,
493708218,34,
493773873,36,
493773873,44,
493809362,12,SESAME BOUTIQUE
493809362,20,SESAME BOUTIQUE
493952501,44,
493952501,44,
493957781,21,
493999684,316,SESSAD LES HIRONDELLES
494080955,11,
494084197,32,
494100076,20,
494100076,38,
494106255,40,
494106255,40,
494108269,15,
494108269,15,
494108541,33,
494108541,33,
494152614,25,
494152614,33,
494234032,14,CGOOD
494261282,11,
494261282,29,
494300890,14,
494315658,26,
494315658,26,
494338619,21,
494338619,39,
494353501,39,
494407430,37,
494407430,45,
494560378,23,
494596414,32,
494631138,18,
494631138,18,
494644800,26,I.3.E.
494644800,26,I.3.E.
494653728,35,CHIC&GLAM
494705874,43,
494761166,37,
494778574,33,
494812829,21,
494812829,39,
494905961,20,
495017352,16,
495017352,16,
495034530,40,
495051708,40,
495051708,40,
495070831,39,
495078669,19,
495084733,31,
495084733,49,
495155343,17,
495155343,25,
495237786,27,EMBG
495317042,10,
495329781,19,
495349177,16,BAG'S ACCESSOIRISTE
495349177,16,BAG'S ACCESSOIRISTE
497498113,24,
497510743,55,
497510743,55,
497529735,27,
497529735,27,
497554022,36,
497554022,44,
497602573,22,
497602573,30,
497630590,22,
497786244,10,
497787374,48,CABINET HEMINOIS
497794396,34,
497794396,42,
497856658,16,DISCOVERY ART II
497951426,38,
497971986,11,
498011063,19,
498011063,19,
498070499,21,ATELIER C
498105246,17,
498107408,11,
498107408,11,
498152354,11,
498260538,34,
498260538,34,
498260538,42,
498260538,42,
498356757,19,
498421403,11,
498452978,22,
498456896,519,
498496611,35,
498504620,10,
498558956,47,
498558956,54,
498620103,32,
498620103,32,
498673730,20,
498775568,47,CHEZ MATTHIEU
498816107,29,
498846344,48,
498846344,48,
498861681,27,
498861681,27,
498861681,35,
498861681,35,
498898014,36,
498898014,36,
498948611,13,
499016426,29,
499112035,13,
499112035,13,
499149342,44,
499252559,20,
499252559,38,
499314417,27,
499314417,35,
499331627,38,
499331627,38,
499347243,10,
499347243,28,
499347243,28,
499380608,46,
499395143,39,
499495554,36,
499495554,44,
499499978,33,
499575272,12,
499575272,20,
499777118,13,
499777118,13,
499814101,14,
499833705,19,
499833705,27,
499884542,30,
499924934,15,
499924934,23,
499981520,20,
499981520,20,
500002985,41,
500002985,58,
500077045,10,
500083712,17,POIVRE ROUGE
500083712,17,MIXGRILL
500086681,11,
500086681,11,
500087093,18,
500087093,26,
500134259,18,
500134259,18,
500214598,12,ADEQUAT INTERIM
500214598,12,ADEQUAT INTERIM
500214598,20,ADEQUAT INTERIM
500226808,11,
500265996,16,LA CIVETTE PEREIRE
500290689,32,
500290689,40,
500323969,39,
500335674,15,
500335674,23,
500361506,32,
500406103,19,
500406103,27,
500414420,25,
500414420,33,
500425061,32,
500435516,41,
500466651,22,
500466651,30,HOTEL RESTAURANT FABIAN DES BAUX
500466651,30,HOTEL RESTAURANT FABIAN DES BAUX
500539507,847,THE KOOPLES SPORT
500595889,22,BOUCHERIE CHARCUTERIE TRAITEUR
500595889,30,
500595889,30,
500595889,48,
500654751,22,
500663505,13,
500663505,21,
500690698,21,LA TERRE BLEUE
500705082,13,
500710983,31,
500710983,31,
500728613,18,
500734918,21,
500734918,39,
500757885,16,
500790027,22,
500862446,35,
500862446,43,
500874383,10,
500931423,23,
500931423,31,
500971718,19,
500971718,27,
500977301,26,
500977301,34,
500995022,34,
500995816,21,
500995816,39,
500999149,23,AS SANDY PRO
500999149,23,AS SANDY PRO
501002505,11,
501148985,10,
501148985,28,
501152599,20,
501152599,38,
501177679,13,
501191928,24,
501191928,40,
501235394,19,
501235394,19,
501238588,39,
501278055,22,
501322226,25,
501381610,10,
501381610,10,
501597165,23,
501597165,23,
501612717,14,
501612717,30,
501748206,15,
501748206,15,
501766349,44,
501766349,69,
501766349,69,
501780159,15,
501839823,25,
501839823,33,
501860373,31,ARTTEC
501860373,31,ARTTEC
501869937,18,CREPERIE LA MEIJE
501869937,18,CREPERIE LA MEIJE
501895460,27,
501895460,27,
501911556,14,
501911556,22,
501922751,26,
501922751,34,
501922751,34,
501922751,42,
501936637,13,
502004542,36,SUCRE SALE
502022924,18,
502022924,18,
502045065,21,
502080294,15,
502080294,15,
502190051,16,
502192149,99,
502209109,11,
502209109,29,
502226400,39,
502226400,47,
502254709,38,
502266802,45,
502266802,52,
502295447,28,
502295447,36,
502323710,58,
502325335,29,
502394703,40,
502394703,57,
502452782,19,
502452782,19,
502452782,27,
502452782,27,
502457344,13,
502479801,32,
502591100,32,
502604853,15,
502604853,23,
502652159,18,E.S.S.
502706070,39,COIFFURE SERGE COMTESSE
502706070,54,SELF'COIFF
502718786,10,
502761737,27,
502761737,27,
502801939,21,
502819139,44,
502872500,33,LE JARDIN DU MAGNESTISME 16
502872500,41,
502911605,33,
502911605,33,
503023996,21,
503206732,11,
503206732,11,
503238446,28,
503241994,14,
503241994,14,
503241994,22,
503241994,22,
503253288,16,
503340481,12,
503340481,20,
503398059,17,CROK L'AVEYRON
503398604,10,
503457087,16,
503476715,19,JARDI-SERRE
503480279,10,ALORIA
503480279,28,
503549701,12,
503568198,17,
503698664,722,
503698664,722,
503698664,1324,
503698664,1332,
503698664,1340,
503698664,1357,
503698664,1365,
503698664,1373,
503698664,1381,
503698664,1399,
503698664,1407,
503698664,1415,
503698664,1423,
503698664,1431,
503698664,1449,
503698664,1456,
503698664,1464,
503698664,1472,
503698664,1480,
503698664,1498,
503698664,1506,
503698664,1514,
503698664,1522,
503698664,1530,
503698664,1548,
503698664,1555,
503698664,1563,
503698664,1571,
503698664,1589,
503698664,1597,
503698664,1605,
503698664,1613,
503698664,1621,
503698664,1639,
503742454,39,
503742454,47,
503755837,13,
503755837,13,CLINIQUE VETERINAIRE DELALIBERATION
503755837,39,
503755837,39,
503781361,12,
503784100,37,
503787103,12,
503787103,20,
503821217,26,
503831836,13,
503831836,13,
503839060,12,
503839060,20,
503903445,24,
504012824,26,
504012824,26,
504016809,23,
504044066,18,
504044066,26,
504113580,14,
504160425,14,
504160425,22,
504197690,28,
504221326,37,
504292004,26,
504292004,34,
504300856,29,
504323916,16,GARAGE CENTRAL
504323916,16,GARAGE CENTRAL
504436098,33,
504491895,18,
504491895,26,
504493669,15,
504493669,23,
504563982,66,
504608589,33,
504680018,18,
504683707,13,
504717315,15,
504739962,18,
504739962,26,
504777798,27,
504789280,14,LE TEMPS DE SUSHIS
504789280,22,
504816232,20,
504831116,26,
504831116,26,
504893397,27,
504893397,35,
504923541,24,
504971383,14,
504979766,12,PARIMMO
505002873,14,
505004143,28,
505071738,15,
505071738,23,
505126904,18,ACOULON SERRURIER METALLIER
505126904,18,ACOULON SERRURIER METALLIER
505209262,29,
505209262,37,
505264564,20,
505317511,10,
505317511,10,
505363820,18,
505373159,19,
505373159,27,
505373159,27,
505373159,35,
505373332,12,
505373332,20,
505382820,15,CENTURY 21
505382820,15,CENTURY 21
507495877,80,
507495877,98,
507542975,10,
507542975,28,
507588705,16,
507603397,13,
507603397,21,
507670750,37,
507670750,45,
507688638,18,
507688638,26,
507689396,20,
507700433,26,
507733210,37,
507741858,25,LE GOUT DU PAIN
507750461,18,
507750461,18,
507774453,17,
507886703,10,
507886703,28,
507969186,18,
507969186,26,
507994275,18,
507994275,18,
507995603,44,
507995603,51,
508009602,30,TOUTRAVAUX
508019098,47,
508026580,11,
508032794,10,
508035540,30,
508035540,48,
508096765,47,
508155900,14,
508184132,19,
508184132,19,
508240413,15,
508240413,23,
508305737,35,
508305737,43,
508333986,26,HAPPY LAND
508369527,66,
508372026,15,
508443009,16,LES FRUITS GOURMANDS
508443009,16,LES FRUITS GOURMANDS
508472925,17,
508472925,25,
508508900,18,
508577434,22,FEU VERT
508577434,22,FEU VERT
508577434,30,
508617677,10,SAKURA
508617677,28,LA VERDURE
508638871,14,
508638871,22,
508646353,21,
508646353,39,
508678703,77,
508678703,85,
508678703,85,
508678703,93,
508685252,27,
508761483,33,
508761483,41,
508809696,26,
508858867,23,
508982683,31,
508982683,31,
509018040,22,
509018040,30,
509018040,30,
509018040,48,
509142980,10,
509239919,38,
509272001,41,
509307971,10,L'EXPRESS
509313896,29,
509341798,15,
509456448,18,OVIALIS
509456448,42,
509456448,67,OVIALIS
509456448,109,
509456448,117,
509471264,10,
509471264,28,
509531075,34,
509531075,34,
509576021,34,
509576021,42,
509576021,42,
509576021,59,
509598512,28,
509604989,12,
509604989,12,
509702098,13,ATELIER DE NATHALIE
509702098,21,ATELIER DE NATHALIE
509703690,24,
509755575,32,
509755575,40,
509766077,10,HISTOIRE D'ONGLES
509766077,28,HISTOIRE D ONGLES
509770533,16,
509770533,24,MERE DOUBLE MAMAN NGOUDI
509782017,16,
509782017,24,
509785119,25,LEUTELLIER - TESSON CREATEURS
509785119,25,MAISON TESSON
509869962,27,
509909933,12,
509910907,70,PRIMO
509937009,25,
509937009,25,
510072556,10,
510098817,16,
510098817,16,
510140429,26,
510144611,41,
510144611,58,
510180003,20,
510180003,20,
510203516,32,
510372048,31,
510372048,49,
510435803,18,
510456494,10,AND'L GD SERVICES
510456494,10,AND'L GD SERVICES
510456494,36,AND'L GD SERVICES
510458177,19,
510499726,22,
510519028,37,
510519028,45,
510528474,24,
510528474,32,
510547268,35,LA METHODE FREYJA
510548399,29,
510586332,23,
510586332,23,
510636236,26,
510784879,15,
510811748,27,
510811748,27,
510821424,15,INFORMATIQUE 70
510821424,23,INFORMATIQUE 70
510823735,12,
510823735,20,
510868961,28,
510910896,16,
510991342,21,
511071771,22,
511107179,34,
511112732,17,
511112732,17,
511112732,25,
511143885,16,
511143885,16,
511145195,18,
511149668,28,
511149668,36,
511227928,13,
511227928,13,
511459828,22,
511459828,22,
511473092,27,
511493066,35,
511493066,43,
511511800,27,
511533051,21,
511539405,15,
511539405,15,
511645491,40,
511645491,40,
511659765,24,
511737637,13,MAUD STYLE
511761223,11,
511761223,29,
511764813,24,
511842122,26,
511857914,10,
511871006,17,
511871006,17,
511883068,21,
511942625,19,
511942625,27,
511942625,27,
511985277,33,
511998718,15,
512018755,29,
512050022,15,
512063934,24,
512128133,34,
512168071,60,
512183765,35,
512197500,14,
512203514,17,
512203514,25,
512257619,27,
512282542,12,
512282542,12,
512342551,45,
512346339,17,LIONEL CHAPYTS
512346339,25,LIONEL CHAPYTS
512381351,26,
512381351,26,
512416116,55,
512416116,63,
512417312,34,
512417312,42,
512569963,22,
512597741,36,
512597741,44,
512675695,39,
512702663,34,
512702663,42,CHEZ ROBERTO
512717505,14,
512717505,22,
512717505,22,
512725953,16,
512725953,24,
512734369,14,LE MONDE DES PERLES
512738022,23,
512751942,16,
512784893,20,
512787623,10,
512787623,10,
512787623,28,
512787623,28,
512811472,12,
512811472,20,
512827007,18,
512827007,18,PLAISIR DES ONGLES
512991498,27,
513006999,25,
513026278,46,
513035188,38,
513085050,21,
513088054,12,L'INSTITUT DES ONGLES
513091983,17,
513102780,30,
513107615,17,
513107615,25,
513188144,36,LA PETITE EPICERIE
513229252,12,
513258368,10,
513344556,32,
513344556,32,
513347955,25,
513347955,33,
513361782,16,
513361782,24,
513403204,11,LA HALTE GOURMANDE
513403204,29,LA HALTE GOURMANDE
513403204,29,LA HALTE GOURMANDE
513403204,37,LA HALTE GOURMANDE
513403204,37,LA HALTE GOURMANDE
513463133,35,
513473207,27,
513517946,28,
513517946,28,AJ ARCHITECTE
513533570,26,
513533570,26,
513542936,10,
513542936,28,
513542936,28,
513558080,26,
513558494,11,
513558494,29,
513594200,18,
513594200,26,
513601245,14,
513681866,28,
513701342,42,
513733014,49,
513733014,56,
513762963,25,
513762963,33,
513766980,25,
513766980,33,
513771113,18,
513771113,26,
513797902,22,
513797902,30,
513800342,26,
513875336,36,HAPPY CAPRICE
513899039,20,
513925644,17,
513943639,23,
513943639,23,
513943639,31,
513943639,31,
514030543,11,
514080837,701,
514080837,701,
514080837,735,
514094309,10,
514123751,59,
514136258,35,
514140821,18,
514140821,26,
514140821,26,
514145119,12,
514163815,20,
514171065,30,PIECES AUTO LYS
514191873,25,
514197086,10,
514217488,48,
514339977,19,
514339977,19,
514354778,37,
514354778,45,
514369495,15,
514390632,16,
514390632,24,
514483957,15,
514483957,31,
514535590,20,
514542885,17,
514542885,41,
514594076,10,
514683754,22,
514683754,30,
514727056,12,LA CASA
514731405,15,
514785591,17,
514856954,29,
514856954,37,
514871805,16,
514872175,21,
514910553,15,
514921923,25,
514970425,13,
515005569,22,
515076149,19,
515076149,19,
515076149,35,
515096568,16,
515111540,24,
515140853,18,
515198042,19,
515210078,17,
515240679,65,
515268837,25,
515320554,14,
515343903,16,
515391332,27,
515391332,27,
517406062,11,
517431458,51,BRETEUIL IMMOBILIER
517437356,10,D.B PRODUCTION
517437356,10,D.B PRODUCTION
517454930,10,
517454930,10,LA PROMENADE
517454930,36,LA PROMENADE
517456166,35,
517508552,26,LILI'BULLES
517508552,26,SAVONNERIE LILI DES BOIS JOLIS
517532693,28,
517532693,36,
517578720,24,
517581005,17,
517599957,35,LE RELAIS DU BOURG
517604146,20,BMS
517604146,38,
517607024,18,
517807566,24,
517873121,19,
517894200,24,
517894200,24,
517907226,24,
517945010,26,
517961462,10,
517974135,25,
517974135,33,
517976403,25,
517976403,33,
517979720,29,
517985313,25,
518028428,10,
518092390,88,
518109574,13,
518161757,27,
518189030,19,
518189030,27,
518214168,24,
518214168,24,
518218078,39,
518226212,18,
518226212,26,
518258843,11,
518258843,11,
518344288,23,
518344288,23,
518371463,10,
518371463,28,
518424189,18,
518424189,18,
518424189,26,
518449764,19,
518482641,25,
518490404,28,
518498936,13,
518498936,21,
518515416,221,
518515416,247,
518606710,11,
518606710,29,
518612791,54,
518621057,34,
518669130,32,CABINET CABEX PONTAULT
518679477,27,
518696521,21,
518703954,17,
518703954,17,
518727086,28,
518727086,28,
518741400,15,
518741400,15,
518741400,23,
518741400,23,
518741400,31,
518756192,10,
518756192,28,
518813639,29,
518813639,29,
518816517,16,
518816517,16,
518817663,25,
518873567,11,
518873567,29,
518875927,15,
518905245,24,
518936968,40,
518936968,57,
518940192,33,
518940192,33,
519008866,62,
519021281,18,
519021281,26,
519050009,17,
519050009,25,
519066849,34,
519066849,34,
519068290,21,
519076418,28,
519087696,18,
519087696,26,
519093280,21,
519112197,16,
519142442,28,
519176200,11,
519176200,29,
519231591,40,
519231591,57,
519271472,36,
519321244,39,
519343388,20,
519347843,12,
519347843,20,
519350045,18,
519363287,37,
519363287,37,STARCUISINE
519441190,47,
519441190,47,
519441190,54,
519441190,54,
519441190,62,
519441190,62,
519441190,70,BOBBIES
519441190,70,BOBBIES
519441190,88,
519443790,18,LA BEDERIE
519443790,26,LA BEDERIE
519451686,25,
519451686,25,
519454565,36,
519485049,26,
519494538,19,PURE ELEC
519541072,12,
519541072,20,
519573018,24,
519582621,16,
519630800,26,
519642896,20,
519675243,25,
519675243,41,
519703128,32,
519703128,40,
519711394,14,
519714539,11,
519714539,29,
519719322,17,
519719322,17,
519752786,11,
519752786,29,
519756530,27,
519756530,35,TRANSIT SUD AZUR
519912224,10,
519912224,28,
520047887,28,
520062456,22,
520062456,22,
520067851,11,
520068685,12,
520070913,48,
520070913,48,
520106469,23,
520116856,45,LES COPEAUX
520133851,29,
520146820,37,
520237611,30,
520257643,12,
520315110,20,
520363888,22,
520416843,16,
520416843,16,
520528134,15,
520528134,15,
520555178,42,
520643032,29,
520643032,45,
520648817,10,
520648817,10,
520670787,32,ANTHRACITE
520670787,40,
520720756,37,
520759101,14,
520759101,14,
520759101,22,
520759101,30,
520759101,30,
520759101,48,
520766171,26,
520802737,12,
520818790,21,
520845140,42,
520845140,42,
520850355,48,
520850355,55,
520855388,10,
520905571,11,
520905571,11,AUTO TEINTE PROTECT
520953480,16,
520953480,24,
520960386,32,
520960386,40,
520980392,10,ROADY
520996802,10,
520996802,10,
520996802,28,
521102483,18,
521102483,26,
521125971,15,
521182923,16,
521182923,16,
521200923,14,
521243709,24,
521277574,13,
521318964,17,
521326413,23,
521326413,31,
521336644,13,EARL VOLATIL
521346064,46,
521346064,53,
521350066,28,L'ATELIER DU TAPISSIER
521350066,28,L'ATELIER DU TAPISSIER - K.LINOU
521409102,30,
521421941,43,DELICATESSEN
521441162,18,
521472340,20,
521515668,15,
521565333,15,
521579946,18,
521585133,23,
521683995,34,
521716860,31,
521796268,14,
521796268,22,CUIR LUNAIRE
521821231,29,BLOT IMMOBILIER
521838300,49,
521847285,58,
521847285,58,
521873885,11,
521878546,22,
521878546,30,
521885608,13,MONCEAU FLEURS
521885608,13,ATOUT FLEURS
521958793,15,
521960872,13,
522055086,22,
522055086,30,
522079870,54,
522079870,62,
522109586,27,M.R STICK
522125749,13,
522196666,13,
522202407,22,
522243427,13,
522243427,21,
522305499,17,
522305499,25,
522332865,16,
522339571,47,
522381847,204,G-STAR CARRE SENART
522423227,27,COMPTOIR DE LA BOUGIE
522434992,23,
522477934,23,MC DONALD'S
522477934,23,MC DONALD'S
522538974,26,GASCOGNE MARINE SERVICES
522538974,34,
522538974,34,
522540426,31,
522576214,20,
522599356,48,
522612480,15,
522612480,23,
522635895,25,
522635895,33,
522665728,21,
522666783,25,
522678358,30,
522678358,48,
522712645,12,
522732080,26,
522738152,43,
522751551,30,
522800614,11,SAITEL BRETAGNE SUD
522800614,11,SAITEL BRETAGNE SUD
522800614,37,SAITEL BRETAGNE SUD
522800614,37,SAITEL BRETAGNE SUD
522846872,11,PREFERENCE FLEURS
522846872,29,
522846872,29,
522846872,37,PREFERENCE FLEURS
522863232,16,
522896083,22,
522896083,22,
522914662,21,
522916410,15,
522916410,23,BEN & MAM'S
522916410,23,BEN & MAM'S
522997469,13,
523032399,25,
523066744,39,
523066744,47,
523208163,15,
523208163,23,
523252476,16,
523252476,24,
523287928,15,
523329076,13,
523346807,10,
523420032,14,
523420032,14,
523437069,25,SAM
523467710,27,
523469377,15,
523506806,42,
523507267,12,
523507267,20,
523519585,13,CHEZ KRISS
523521177,15,
523678225,21,
523687911,17,
523739233,22,
523744282,22,
523744613,10,
523764785,37,
523779163,22,
523798288,24,KHIBRA VR
523803658,13,
523826485,14,
523826485,22,
523834414,22,
523880003,18,
523880003,26,
523922441,10,
523925543,28,
523972800,16,
523972800,24,
523986024,17,
524041175,18,
524041175,26,
524152170,22,
524152212,14,
524152212,22,
524202249,24,
524202249,40,
524202249,40,
524202249,57,
524202249,57,
524202249,65,
524202249,65,
524202249,73,
524202249,73,
524202249,81,"DECKERS FRANCE SAS, ANNECY OFFICE"
524202249,81,"DECKERS FRANCE SAS, ANNECY OFFICE"
524202249,99,
524205069,15,
524205069,23,
524266335,16,
524270568,16,
524293404,25,
524306487,25,
524351590,12,
524365384,22,
524460151,29,
524472404,36,
524472404,44,
524480662,13,
524480662,13,
524483377,15,
524485463,29,
524485463,37,
524488210,21,
524505948,25,
524505989,29,
524506268,27,
524506326,23,
524507381,35,
524540457,16,
524567559,33,
524573995,23,
524573995,31,
524577731,28,PARENTHESE DETENTE
524587441,22,
524610862,20,
524610862,38,
524656766,28,
524656766,36,
524662509,32,
524662509,40,
524662509,40,
524794856,46,
524821592,10,
524821592,10,
524821592,28,
524844834,43,
524877248,12,
524877248,20,
524877891,35,
524877891,35,
524898475,16,
524909215,39,
524929817,12,
524937836,12,
525053393,19,
525053393,19,
525078366,16,BOOST COMMUNICATION
525164968,22,
525164968,48,ANIMALIA FUNERARIUM POMPES FUNEBRES POUR ANIMAUX
525193231,12,
525269809,14,JURALPECO
525269809,14,JURALPECO
525281184,24,
525315222,22,
525315222,22,
525326427,24,
525326427,32,
525347472,25,
525347472,33,
525377909,11,
525377909,29,
527564710,38,
527564710,38,
527565493,22,
527603989,23,GALERIE NEXT
527617740,198,
527617740,206,
527617740,214,
527617740,222,
527617740,230,
527617740,248,
527617740,644,
527617740,651,
527627871,33,
527643084,33,CHARLIE COIFFURE
527643084,33,CHARLIE COIFFURE
527647846,23,
527652762,16,
527701254,15,
527701254,15,
527702484,25,
527706782,10,
527768550,24,
527826440,10,
527841852,17,
527843908,15,
527872915,22,
527872915,30,
527872915,30,
527894695,32,
527980841,11,
528022114,37,
528044324,10,
528055262,34,
528055262,42,
528069636,74,
528084635,28,
528084635,36,
528145303,12,
528163199,29,
528163199,29,
528208903,13,
528214737,25,MAX FOOD
528249386,12,
528257736,17,
528326366,10,
528331838,11,
528331838,11,
528363039,17,
528363039,25,
528575285,10,BROOKLYN JUNIOR
528586407,25,
528586407,25,
528687601,21,
528687601,21,
528697832,12,
528748247,12,
528748247,20,
528816861,33,
528816861,33,
528821150,26,
528821150,34,
528867682,31,
528867682,49,
528963986,21,
529008005,17,LA FONTAINE
529058281,13,
529067795,37,
529085318,10,
529138299,27,LM RENOVATIONS0
529169880,42,
529175291,36,
529175291,44,
529221350,18,
529223919,18,CRGB
529223919,26,
529223919,26,
529245375,41,
529245375,58,
529249088,12,
529258352,10,
529258352,28,
529267163,10,LE CHOIX FUNERAIRE
529267163,10,LE CHOIX FUNERAIRE
529270696,14,
529271066,27,
529282188,26,
529299786,36,
529309692,18,
529325391,25,CENTURY 21 AGENCE CARPENTIER
529325391,25,CENTURY 21 AGENCE CARPENTIER
529340879,12,FM2C
529340879,12,FM2C
529344186,26,
529344186,34,
529357840,14,
529357840,22,
529387532,11,
529391179,15,
529426975,49,
529426975,56,
529480519,22,
529493603,11,
529501223,18,
529599367,24,
529599367,24,
529608044,28,
529612350,31,
529616724,25,
529616724,25,
529636920,33,
529650145,12,
529656019,13,
529656019,21,
529656019,21,
529659849,36,
529659849,44,
529737017,28,
529771701,32,
529783128,18,
529783128,34,
529811887,23,
529850794,15,
529909442,20,
529909442,38,
529926420,17,
529953937,16,
530010172,35,
530018696,27,
530018696,27,
530024611,10,TRANSPORTS LUDOVIC THAUSE
530024611,28,
530042654,34,PET'S FAMILY
530042654,42,
530196260,18,
530196260,26,
530239912,13,
530260082,33,
530283027,15,
530283027,15,
530283027,23,CAMPING LE COLOMBIER
530283027,23,CAMPING LE COLOMBIER
530291178,32,
530324318,27,
530324318,27,
530326503,14,
530412683,19,
530435387,10,
530438977,23,
530446350,15,
530448794,20,
530448794,20,
530473065,15,
530473065,23,
530478353,10,
530478353,10,
530572221,22,EPP
530575604,18,
530591304,15,HOTEL VICTOR HUGO
530591304,15,HOTEL VICTOR HUGO
530642271,23,ENTREPRISE GOSSIN
530684513,19,
530684513,27,
530699792,12,
530700277,29,
530700277,37,
530700798,16,
530704832,19,ABSOLU
530776483,22,
530776483,30,
530776640,27,
530786896,31,
530788256,28,
530788256,36,
530827161,23,
530855485,13,
530855485,21,
530873009,19,
530873009,27,
530923663,13,
530923663,21,
530944495,23,
530945062,12,
530945062,20,
530999291,12,
531010569,14,
531010569,22,
531014280,14,
531014322,22,
531156339,24,
531216869,10,
531300952,37,
531300952,45,
531301471,11,
531309508,20,
531362127,15,
531362127,23,
531372753,16,
531372753,16,
531424141,12,
531427417,39,
531427417,47,
531432243,24,MAYEUR MARC OLIVIER
531489185,45,
531489185,52,
531496479,19,
531496479,27,
531540797,10,
531540797,28,
531578177,10,DINTIMILLE PHOTOGRAPHIE
531645018,23,
531659530,38,L'ETABLI CREATIF
531659530,46,L'ETABLI CREATIF
531701589,16,
531701589,24,
531709913,28,
531709913,36,
531731248,13,
531735918,17,
531735918,17,
531779569,15,
531779569,15,
531779569,23,LA MALINE
531779569,23,LA MALINE
531810182,67,GARAGE DU PAYS D'AUGE
531824779,56,AGENCE GOUDY THARON PLAGE
531843209,28,
531848786,38,
531875797,31,
531875797,49,
531911048,19,OPTIQUE MARS
531911048,19,OPTIQUE MARS
531911048,27,
531911923,21,
531922359,66,
531928208,28,
531953990,11,
531953990,11,
531953990,29,
531953990,29,
531953990,37,
531953990,37,
531953990,45,
531956613,24,
531998128,15,
531998128,15,
532002201,20,BOULANGERIE PATISSERIE DE LA BAIE
532005634,11,
532022092,29,
532046356,12,
532046356,20,
532069630,12,
532091709,24,
532136967,25,
532160876,19,
532185667,13,
532222643,27,
532274453,10,
532291887,26,
532342359,17,
532356508,12,
532361441,27,ESTAQUA
532367406,16,
532389335,11,CHEZ MOI
532424645,10,
532424645,28,
532436789,20,FRAMBOISE
532436789,20,FRAMBOISE
532436789,38,FRAMBOISE
532463460,24,
532463460,24,
532478963,12,MULTI METAUX
532529948,46,
532529948,53,
532575651,23,
532575651,31,
532597838,20,
532597838,38,
532602448,21,
532645439,37,
532645439,37,
532755782,36,
532793973,19,
532839826,15,
532839826,23,
532866613,21,
532875374,11,
532897006,13,
532903895,11,
532903895,29,
532916061,15,
532916061,15,
532916913,25,OSSKA RELAXATION
532917556,13,
532917556,21,
532935319,14,
532935319,22,
532946852,11,HOTEL VILLA NAVARRE
532946852,11,HOTEL VILLA NAVARRE
532971827,11,
532971827,29,
532972957,15,L'EMPREINTE DU 9
533019824,28,
533019824,36,
533038956,25,
533038956,33,
533048229,17,
533048229,17,
533059101,14,
533059101,14,
533059101,22,DUVET LENZY
533061941,35,IME LES TROENES
